60	Luke	Plapp	Team Jayco AlUla	4.1M	34	0	0	0	34	8.3		1	0
61	Gregor	Muhlberger	Movistar Team	2.6M	16	16	0	0	32	12.3		1	0
62	Mauro	Schmid	Team Jayco AlUla	4M	31	0	0	0	31	7.8		13	0
63	Cristian	Rodriguez	Arkea – B&B Hotels	3.7M	18	12	0	0	30	8.1		1	0
64	Frank	Van den Broek	Team Picnic PostNL	3M	30	0	0	0	30	10.0		8	0
65	Bruno	Armirail	Decathlon AG2R La Mondiale Team	4.2M	29	0	0	0	29	6.9		4	0
66	Sepp	Kuss	Team Visma | Lease a Bike	6.8M	11	18	0	0	29	4.3		4	0
67	Jasper	Stuyven	Lidl – Trek	4.1M	28	0	0	0	28	6.8		1	0
68	Matej	Mohoric	Bahrain – Victorious	3.7M	26	0	0	0	26	7.0		5	0
69	Jake	Stewart	Israel – Premier Tech	3.6M	26	0	0	0	26	7.2		18	0
70	Dylan	Groenewegen	Team Jayco AlUla	7.6M	26	0	0	0	26	3.4		5	0
71	Edoardo	Affini	Team Visma | Lease a Bike	3.2M	26	0	0	0	26	8.1		1	0
72	Eddie	Dunbar	Team Jayco AlUla	5.3M	23	0	0	2	25	4.7	7	0	4
73	Harry	Sweeny	EF Education – EasyPost	2.9M	24	0	0	0	24	8.3		1	0
74	Mattias	Skjelmose	Lidl – Trek	9.7M	24	0	0	0	24	2.5	14	4	10
75	Ivan	Romeo	Movistar Team	4.1M	24	0	0	0	24	5.9		12	1
76	Stian	Fredheim	Uno-X Mobility	3.3M	24	0	0	0	24	7.3		10	0
77	Ilan	Van Wilder	Soudal Quick-Step	3.7M	23	0	0	0	23	6.2		1	0
78	Joseph	Blackmore	Israel – Premier Tech	2.9M	19	3	0	0	22	7.6		22	0
79	Bastien	Tronchon	Decathlon AG2R La Mondiale Team	3.1M	20	0	0	0	20	6.5		11	0
80	Yevgeniy	Fedorov	XDS Astana Team	2.5M	20	0	0	0	20	8.0	19	10	8
81	Will	Barta	Movistar Team	2.5M	19	0	0	0	19	7.6		3	8
82	Aleksandr	Vlasov	Red Bull – BORA – hansgrohe	5.8M	19	0	0	0	19	3.3		1	9
83	Fred	Wright	Bahrain – Victorious	3.8M	17	0	0	0	17	4.5		2	0
84	Bryan	Coquard	Cofidis	5.6M	17	0	0	0	17	3.0	13	8	4
85	Samuel	Watson	INEOS Grenadiers	2.6M	17	0	0	0	17	6.5		14	0
86	Anders Halland	Johannessen	Uno-X Mobility	4.4M	17	0	0	0	17	3.9		4	0
87	Raul	Garcia Pierna	Arkea – B&B Hotels	2.5M	15	0	0	0	15	6.0		6	2
88	Alexis	Renard	Cofidis	3M	15	0	0	0	15	5.0		15	0
89	Michael	Woods	Israel – Premier Tech	5.2M	0	0	0	15	15	2.9		1	0
90	Mathieu	Burgaudeau	Team TotalEnergies	3.3M	15	0	0	0	15	4.5		0	0
91	Xandro	Meurisse	Alpecin – Deceuninck	2.5M	14	0	0	0	14	5.6		0	3
92	Alex	Aranburu	Cofidis	4.4M	14	0	0	0	14	3.2		13	0
93	Amaury	Capiot	Arkea – B&B Hotels	2.5M	13	0	0	0	13	5.2		4	6
94	Benjamin	Thomas	Cofidis	3.2M	0	0	0	13	13	4.1		0	0
95	Vincenzo	Albanese	EF Education – EasyPost	2.9M	13	0	0	0	13	4.5		17	0
96	Neilson	Powless	EF Education – EasyPost	4.8M	13	0	0	0	13	2.7		14	2
97	Michael	Valgren	EF Education – EasyPost	3.1M	13	0	0	0	13	4.2		0	0
98	Marius	Mayrhofer	Tudor Pro Cycling Team	3M	13	0	0	0	13	4.3		0	0
99	Ewen	Costiou	Arkea – B&B Hotels	2.5M	9	0	0	3	12	4.8		3	4
100	Danny	Van Poppel	Red Bull – BORA – hansgrohe	6.4M	12	0	0	0	12	1.9	16	0	1
101	Dylan	Teuns	Cofidis	3.3M	11	0	0	0	11	3.3		0	0
102	Valentin	Madouas	Groupama – FDJ	3.8M	11	0	0	0	11	2.9		1	0
103	Jenno	Berckmoes	Lotto	3.1M	11	0	0	0	11	3.5		12	0
104	Pablo	Castrillo	Movistar Team	4.5M	11	0	0	0	11	2.4		5	0
105	Niklas	Markl	Team Picnic PostNL	2.5M	11	0	0	0	11	4.4		1	1
106	Damien	Touze	Cofidis	2.6M	10	0	0	0	10	3.8		0	0
107	Brent	Van Moer	Lotto	2.9M	10	0	0	0	10	3.4		0	0
